Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
376	NaN	1.727	1.960	1.018	0.929	0.927
377	NaN	1.733	1.963	1.021	0.929	0.928
378	NaN	1.739	1.968	1.024	0.930	0.928
379	NaN	1.744	1.965	1.027	0.931	0.929
380	NaN	1.746	1.946	1.030	0.932	0.929
381	NaN	1.747	NaN	1.033	0.933	0.930
382	NaN	1.747	NaN	1.036	0.934	0.930
383	NaN	1.746	NaN	1.039	0.935	0.931
384	NaN	1.746	NaN	1.042	0.936	0.931
385	NaN	1.747	NaN	1.046	0.938	0.932
386	NaN	1.749	NaN	1.050	0.939	0.932
387	NaN	1.753	NaN	1.054	0.941	0.932
388	NaN	1.757	NaN	1.058	0.943	0.933
389	NaN	1.761	NaN	1.062	0.945	0.933
390	NaN	1.764	NaN	1.066	0.947	0.934
391	NaN	1.766	NaN	1.069	0.950	0.934
392	NaN	1.766	NaN	1.072	0.953	0.934
393	NaN	1.766	NaN	1.075	0.956	0.935
394	NaN	1.765	NaN	1.078	0.959	0.935
395	NaN	1.763	NaN	1.081	0.962	0.935
396	NaN	1.762	NaN	1.085	0.966	0.936
397	NaN	1.760	NaN	1.089	0.970	0.936
398	NaN	1.759	NaN	1.095	0.974	0.936
399	NaN	1.758	NaN	1.100	0.978	0.936
400	NaN	1.759	NaN	1.106	0.983	0.937
401	NaN	1.761	NaN	1.112	0.988	0.937
402	NaN	1.763	NaN	1.118	0.993	0.937
403	NaN	1.765	NaN	1.124	0.999	0.937
404	NaN	1.767	NaN	1.129	1.005	0.938
405	NaN	1.767	NaN	1.133	1.011	0.938
406	NaN	1.769	NaN	1.137	1.017	0.938
407	NaN	1.772	NaN	1.141	1.023	0.938
408	NaN	1.776	NaN	1.146	1.030	0.938
409	NaN	1.780	NaN	1.150	1.037	0.939
410	NaN	1.784	NaN	1.156	1.045	0.939
411	NaN	1.785	NaN	1.161	1.052	0.939
412	NaN	1.784	NaN	1.167	1.060	0.940
413	NaN	1.781	NaN	1.173	1.068	0.940
414	NaN	1.777	NaN	1.179	1.076	0.940
415	NaN	1.772	NaN	1.185	1.085	0.941
416	NaN	1.769	NaN	1.191	1.093	0.941
417	NaN	1.767	NaN	1.196	1.102	0.942
418	NaN	1.768	NaN	1.201	1.111	0.942
419	NaN	1.772	NaN	1.207	1.121	0.943
420	NaN	1.778	NaN	1.212	1.130	0.944
421	NaN	1.785	NaN	1.217	1.140	0.945
422	NaN	1.793	NaN	1.223	1.149	0.946
423	NaN	1.799	NaN	1.230	1.159	0.947
424	NaN	1.803	NaN	1.236	1.169	0.948
425	NaN	1.804	NaN	1.244	1.180	0.949
426	NaN	1.802	NaN	1.252	1.190	0.950
427	NaN	1.799	NaN	1.260	1.200	0.952
428	NaN	1.795	NaN	1.269	1.211	0.953
429	NaN	1.791	NaN	1.277	1.222	0.955
430	NaN	1.788	NaN	1.285	1.232	0.957
431	NaN	1.787	NaN	1.293	1.243	0.959
432	NaN	1.789	NaN	1.300	1.254	0.961
433	NaN	1.794	NaN	1.306	1.265	0.963
434	NaN	1.800	NaN	1.311	1.275	0.966
435	NaN	1.806	NaN	1.316	1.286	0.968
436	NaN	1.811	NaN	1.321	1.297	0.971
437	NaN	1.814	NaN	1.326	1.308	0.974
438	NaN	1.816	NaN	1.332	1.319	0.977
439	NaN	1.816	NaN	1.340	1.330	0.981
440	NaN	1.816	NaN	1.348	1.341	0.984
441	NaN	1.817	NaN	1.356	1.351	0.988
442	NaN	1.819	NaN	1.365	1.362	0.992
443	NaN	1.823	NaN	1.375	1.373	0.996
444	NaN	1.826	NaN	1.384	1.383	1.001
445	NaN	1.828	NaN	1.393	1.394	1.005
446	NaN	1.828	NaN	1.402	1.404	1.010
447	NaN	1.827	NaN	1.410	1.415	1.015
448	NaN	1.826	NaN	1.418	1.425	1.021
449	NaN	1.825	NaN	1.426	1.435	1.026
450	NaN	1.826	NaN	1.433	1.445	1.032
451	NaN	1.827	NaN	1.440	1.455	1.038
452	NaN	1.829	NaN	1.447	1.465	1.044
453	NaN	1.832	NaN	1.453	1.474	1.051
454	NaN	1.834	NaN	1.459	1.484	1.057
455	NaN	1.836	NaN	1.465	1.493	1.064
456	NaN	1.837	NaN	1.472	1.503	1.071
457	NaN	1.837	NaN	1.478	1.512	1.079
458	NaN	1.836	NaN	1.485	1.521	1.086
459	NaN	1.833	NaN	1.492	1.529	1.094
460	NaN	1.830	NaN	1.498	1.538	1.102
461	NaN	1.827	NaN	1.504	1.547	1.110
462	NaN	1.825	NaN	1.510	1.555	1.118
463	NaN	1.826	NaN	1.515	1.563	1.126
464	NaN	1.828	NaN	1.520	1.571	1.135
465	NaN	1.832	NaN	1.526	1.579	1.144
466	NaN	1.838	NaN	1.532	1.587	1.153
467	NaN	1.844	NaN	1.538	1.595	1.162
468	NaN	1.851	NaN	1.545	1.602	1.171
469	NaN	1.858	NaN	1.552	1.610	1.180
470	NaN	1.863	NaN	1.558	1.617	1.189
471	NaN	1.867	NaN	1.564	1.624	1.199
472	NaN	1.869	NaN	1.570	1.631	1.208
473	NaN	1.869	NaN	1.575	1.638	1.218
474	NaN	1.867	NaN	1.581	1.645	1.228
475	NaN	1.863	NaN	1.587	1.651	1.238
476	NaN	1.859	NaN	1.594	1.658	1.248
477	NaN	1.855	NaN	1.601	1.664	1.258
478	NaN	1.853	NaN	1.608	1.670	1.268
479	NaN	1.851	NaN	1.616	1.676	1.278
480	NaN	1.851	NaN	1.624	1.682	1.288
481	NaN	1.851	NaN	1.632	1.688	1.298
482	NaN	1.851	NaN	1.640	1.694	1.308
483	NaN	1.852	NaN	1.647	1.700	1.318
484	NaN	1.853	NaN	1.654	1.705	1.328
485	NaN	1.856	NaN	1.660	1.710	1.339
486	NaN	1.860	NaN	1.665	1.716	1.349
487	NaN	1.864	NaN	1.669	1.721	1.359
488	NaN	1.868	NaN	1.673	1.726	1.369
489	NaN	1.872	NaN	1.677	1.731	1.379
490	NaN	1.874	NaN	1.681	1.736	1.389
491	NaN	1.877	NaN	1.685	1.741	1.399
492	NaN	1.879	NaN	1.689	1.745	1.409
493	NaN	1.881	NaN	1.694	1.750	1.419
494	NaN	1.884	NaN	1.698	1.755	1.428
495	NaN	1.887	NaN	1.701	1.759	1.438
496	NaN	1.890	NaN	1.703	1.763	1.447
497	NaN	1.892	NaN	1.706	1.768	1.457
498	NaN	1.891	NaN	1.708	1.772	1.466
499	NaN	1.888	NaN	1.711	1.776	1.476
500	NaN	1.883	NaN	1.715	1.780	1.485
501	NaN	1.877	NaN	1.720	1.784	1.494
502	NaN	1.872	NaN	1.726	1.788	1.503
503	NaN	1.869	NaN	1.733	1.792	1.512
504	NaN	1.868	NaN	1.740	1.795	1.520
505	NaN	1.869	NaN	1.746	1.799	1.529
506	NaN	1.869	NaN	1.752	1.803	1.537
507	NaN	1.868	NaN	1.758	1.806	1.546
508	NaN	1.865	NaN	1.763	1.810	1.554
509	NaN	1.862	NaN	1.767	1.813	1.562
510	NaN	1.860	NaN	1.770	1.816	1.570
511	NaN	1.861	NaN	1.772	1.820	1.578
512	NaN	1.865	NaN	1.774	1.823	1.585
513	NaN	1.872	NaN	1.775	1.826	1.593
514	NaN	1.882	NaN	1.775	1.829	1.600
515	NaN	1.892	NaN	1.776	1.832	1.607
516	NaN	1.900	NaN	1.777	1.835	1.614
517	NaN	1.906	NaN	1.779	1.838	1.621
518	NaN	1.909	NaN	1.781	1.841	1.628
519	NaN	1.910	NaN	1.784	1.844	1.635
520	NaN	1.910	NaN	1.787	1.846	1.641
521	NaN	1.909	NaN	1.790	1.849	1.648
522	NaN	1.908	NaN	1.793	1.852	1.654
523	NaN	1.908	NaN	1.796	1.854	1.660
524	NaN	1.906	NaN	1.798	1.857	1.666
525	NaN	1.904	NaN	1.800	1.859	1.672
526	NaN	1.900	NaN	1.801	1.862	1.677
527	NaN	1.895	NaN	1.803	1.864	1.683
528	NaN	1.890	NaN	1.805	1.867	1.688
529	NaN	1.886	NaN	1.808	1.869	1.694
530	NaN	1.886	NaN	1.811	1.871	1.699
531	NaN	1.888	NaN	1.814	1.873	1.704
532	NaN	1.892	NaN	1.818	1.876	1.709
533	NaN	1.897	NaN	1.822	1.878	1.713
534	NaN	1.902	NaN	1.825	1.880	1.718
535	NaN	1.906	NaN	1.827	1.882	1.723
536	NaN	1.908	NaN	1.828	1.884	1.727
537	NaN	1.908	NaN	1.829	1.886	1.731
538	NaN	1.907	NaN	1.829	1.888	1.735
